title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Young Hearts,Young Hearts,0,"{id: 18, name: Drama}, {id: 10751, name: Family}",nl,"{english_name: French, iso_639_1: fr, name: Français}, {english_name: Dutch, iso_639_1: nl, name: Nederlands}",https://www.polar-bear.tv/young-hearts,"Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality.",20.88,97,0,2025-01-16,0.0,0,"{iso_3166_1: BE, name: Belgium}, {iso_3166_1: NL, name: Netherlands}",https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",The New York Times,"subject: Movies;creative_works: Young Hearts (Movie);persons: Sherman, Sarah (Film Director);persons: Sherman, Zachary Ray (1984- );",2021-02-11T12:00:06+0000,324,‘Young Hearts’ Review: Movie Love by Algorithm,,,Young Hearts,,,,By Kristen Yoonsoo Kim,
Little Fish,Little Fish,0,"{id: 10749, name: Romance}, {id: 878, name: Science Fiction}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.littlefish.movie,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,13.984,101,39053,2021-02-05,7.01,195,"{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,The New York Times,"subject: Movies;creative_works: Little Fish (Movie);persons: Hartigan, Chad;",2021-02-04T12:00:06+0000,315,‘Little Fish’ Review: Do You Remember Love?,,,Little Fish,,,,By Kristen Yoonsoo Kim,
Two of Us,Two of Us,0,"{id: 18, name: Drama}, {id: 53, name: Thriller}",tl,"{english_name: Tagalog, iso_639_1: tl, name: }",,"Empress Schuck and Ejay Falcon star in this psychological thriller as two people who find each other while trying to make a living in a foreign country. But as time passes, underneath the sweet moments lie a toxic relationship that sparks violent tendencies.",2.523,103,0,2024-04-10,0.0,0,"{iso_3166_1: PH, name: Philippines}",https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,The New York Times,"subject: Movies;persons: Sukowa, Barbara;creative_works: Two of Us (Movie);persons: Meneghetti, Filippo;",2021-02-04T12:00:03+0000,313,‘Two of Us’ Review: Thwarted Love,,,Two of Us,,,,By Beatrice Loayza,
Wild Mountain Thyme,Wild Mountain Thyme,0,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",14.751,102,0,2020-12-11,5.2,173,"{iso_3166_1: IE, name: Ireland}, {iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"subject: Movies;persons: Shanley, John Patrick;persons: Blunt, Emily;persons: Dornan, Jamie;creative_works: Outside Mullingar (Play);creative_works: Wild Mountain Thyme (Movie);",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,,,Wild Mountain Thyme,,,,By Glenn Kenny,
Ammonite,Ammonite,0,"{id: 10749, name: Romance}, {id: 18, name: Drama}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",15.241,118,1396905,2020-11-13,6.994,554,"{iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"subject: Movies;persons: Ronan, Saoirse;persons: Winslet, Kate;persons: Lee, Francis (1969- );creative_works: Ammonite (Movie);",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Critic’s Pick,,Love on the Rocks,,,,By Jeannette Catsoulis,
Dick Johnson Is Dead,Dick Johnson Is Dead,0,"{id: 99, name: Documentary}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",9.287,89,0,2020-01-23,7.2,124,"{iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"creative_works: Dick Johnson Is Dead (Movie);subject: Documentary Films and Programs;persons: Johnson, Kirsten (1965- );creative_works: Cameraperson (Movie);subject: Death and Dying;",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",Critic’s pick,,A Love Letter Delivered Along With a Death Notice,,,,By Manohla Dargis,
Lungs,Lungs,0,"{id: 18, name: Drama}",en,,,"The ice caps are melting, there’s overpopulation, political unrest; everything’s going to hell in a handcart – why on earth would someone bring a baby into this world? Directed by Matthew Warchus, Claire Foy and Matt Smith perform a socially distanced version of Duncan Macmillan’s hilarious emotional rollercoaster of a play about a couple wrestling with life’s biggest dilemmas live from The Old Vic.",2.216,80,0,2020-06-26,8.0,3,"{iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/06/28/theater/lungs-review-claire-foy-matt-smith.html,"In Duncan Macmillan’s play, streaming live from the Old Vic, the stars of “The Crown” play a contradictory couple in an age of isolation.",The New York Times,"subject: Theater;creative_works: Lungs (Play);persons: Foy, Claire (1984- );persons: Smith, Matt (1982- );persons: Macmillan, Duncan;organizations: Old Vic Theater;persons: Warchus, Matthew;",2020-06-28T18:35:28+0000,1091,‘Lungs’ Review: Claire Foy and Matt Smith Chase Love in the Dark,critic’s pick,,Chasing Love in the Dark,,,,By Ben Brantley,
The Photograph,The Photograph,16000000,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://www.thephotographmovie.com/,"When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.",16.398,106,20690779,2020-02-14,6.387,204,"{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}",https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"subject: Movies;creative_works: The Photograph (Movie);persons: Meghie, Stella;persons: Rae, Issa;persons: Stanfield, Lakeith;",2020-02-13T20:54:33+0000,862,‘The Photograph’ Review: An Unabashedly Old-School Love Story,,,An Unabashedly Old-School Love Story,,,,By Manohla Dargis,
Ordinary Love,Ordinary Love,0,"{id: 18, name: Drama}, {id: 10749, name: Romance}",en,"{english_name: English, iso_639_1: en, name: English}",https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,9.053,92,0,2019-12-06,6.877,134,"{iso_3166_1: IE, name: Ireland}, {iso_3166_1: GB, name: United Kingdom}",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"subject: Movies;creative_works: Ordinary Love (Movie);persons: Neeson, Liam;persons: Manville, Lesley;persons: D'Sa, Lisa Barros;persons: Leyburn, Glenn;",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,,,Old-Sweater Lives,,,,By A.O. Scott,
Medea,Medea,0,"{id: 18, name: Drama}, {id: 14, name: Fantasy}",it,"{english_name: Italian, iso_639_1: it, name: Italiano}",,"Based on the plot of Euripides' Medea. Medea centers on the barbarian protagonist as she finds her position in the Greek world threatened, and the revenge she takes against her husband Jason who has betrayed her for another woman.",9.313,118,0,1970-01-28,6.5,169,"{iso_3166_1: FR, name: France}, {iso_3166_1: DE, name: Germany}, {iso_3166_1: IT, name: Italy}",https://www.nytimes.com/2020/01/30/theater/medea-review.html,Simon Stone’s contemporary spin on the classic tale of marital vengeance feels more clinical than tragic.,The New York Times,"subject: Theater;creative_works: Medea (Play);persons: Byrne, Rose;persons: Cannavale, Bobby;persons: Stone, Simon (1984- );organizations: Brooklyn Academy of Music;persons: Euripides;",2020-01-31T02:45:06+0000,1062,"‘Medea’ Review: Rose Byrne and Bobby Cannavale, Torched by Love",,,Control Your Passions Or Others Pay a Price,,,,By Ben Brantley,
